408	457
91	278
328	294
78	99
340	176
78	326
257	79
369	239
272	141
252	16
365	3
71	146
148	362
2	21
294	371
371	228
112	91
78	480
114	273
178	99
238	13
146	31
39	238
18	43
130	19
247	475
236	406
101	13
137	238
386	112
484	385
336	176
320	109
223	245
336	419
221	275
66	375
90	171
7	99
194	427
355	455
386	206
336	269
359	484
363	375
381	457
416	121
269	130
375	365
170	146
72	29
62	198
130	50
211	365
389	267
469	371
416	72
7	39
324	394
499	365
210	319
366	102
478	238
292	35
358	365
390	378
7	250
342	275
68	35
284	338
369	145
209	336
161	372
443	178
81	356
411	108
411	293
238	266
42	229
255	365
236	300
162	365
47	108
13	332
334	340
178	408
268	114
472	468
113	196
244	84
142	467
33	464
43	182
72	365
379	320
320	319
103	161
47	396
258	161
333	228
420	229
355	371
190	358
245	160
130	381
128	72
250	252
350	78
84	329
236	298
312	420
494	486
324	93
210	0
390	43
50	170
288	50
258	130
115	297
150	35
285	348
59	101
23	242
205	42
436	137
329	43
463	19
292	389
240	326
21	12
451	365
464	13
181	312
386	465
95	457
190	291
328	268
444	15
359	195
25	291
76	373
461	87
302	217
94	241
95	350
52	457
215	48
210	224
251	365
171	484
31	257
464	365
344	384
294	315
283	99
146	314
228	1
328	312
344	26
389	356
123	489
460	352
397	163
275	408
2	294
21	365
422	385
170	247
468	148
275	365
77	317
268	106
173	81
228	48
84	431
269	205
479	325
201	15
97	181
46	4
127	27
362	247
170	333
217	365
157	469
494	440
25	365
344	274
474	338
454	360
188	1
31	196
468	277
62	388
342	21
380	356
195	160
88	315
366	96
157	294
421	259
15	365
146	203
143	340
226	96
353	341
179	400
163	87
18	365
451	469
378	149
328	247
148	258
97	365
283	36
1	95
20	440
294	238
312	411
243	365
204	242
284	372
228	365
319	449
133	359
303	365
221	365
448	391
378	93
123	85
284	159
389	155
249	428
112	80
288	98
198	315
2	438
321	356
201	362
350	365
121	3
210	250
202	41
115	419
95	194
402	85
198	366
334	12
485	161
190	37
71	307
91	455
377	295
100	202
469	159
123	365
134	41
178	224
190	261
291	35
209	363
54	64
231	439
450	101
95	498
65	422
15	362
106	170
134	463
93	343
431	285
329	368
422	466
241	477
133	196
348	414
308	196
116	176
499	284
148	166
340	365
296	293
217	243
288	258
236	130
356	288
378	256
402	242
314	51
428	228
223	288
113	342
426	178
432	389
336	369
288	31
325	358
193	77
421	308
151	366
13	307
401	170
212	374
242	274
81	372
95	315
198	64
390	187
390	365
106	2
210	274
257	113
131	112
353	33
489	99
339	384
81	19
240	365
254	365
33	117
241	15
184	424
59	288
373	450
178	164
146	173
300	378
156	87
12	145
395	333
91	322
279	106
160	421
376	222
95	384
283	1
162	353
247	365
142	242
334	365
93	162
114	291
78	377
285	326
23	419
334	179
327	490
24	356
440	346
165	383
393	118
48	1
412	243
71	106
111	228
443	320
254	420
193	176
226	167
444	392
325	22
13	289
240	228
472	365
303	424
192	250
346	181
112	484
28	176
494	498
47	463
443	42
161	101
347	389
148	194
296	166
222	99
198	365
314	232
383	96
332	499
233	121
383	358
283	130
262	242
86	202
362	161
401	491
360	181
344	247
369	424
27	18
258	298
42	401
2	365
290	130
380	372
346	31
370	405
379	319
161	154
431	379
79	258
9	367
375	262
201	33
313	284
1	146
324	338
228	346
67	455
269	21
298	250
201	408
93	256
269	192
2	499
218	428
89	145
347	99
250	300
476	76
464	476
12	358
121	368
94	399
162	275
13	176
328	96
166	439
341	469
476	171
242	440
205	345
238	72
456	196
252	193
479	241
327	251
356	475
349	420
95	209
359	219
157	42
356	333
447	222
95	41
95	21
82	247
225	326
366	23
194	65
298	77
328	161
242	117
229	319
365	78
307	372
27	181
328	365
110	80
427	279
130	315
333	365
484	407
26	29
363	110
288	60
378	313
52	166
60	428
258	51
351	178
359	1
483	250
415	269
35	170
351	238
113	483
156	250
61	342
166	375
24	398
225	212
236	326
283	338
480	131
366	346
423	228
118	180
48	451
13	356
371	479
218	93
74	21
34	431
247	333
220	21
371	338
212	279
97	332
123	485
217	223
466	209
173	419
303	326
9	161
386	432
295	8
85	288
288	78
359	455
78	279
179	114
410	275
410	467
279	13
142	456
95	247
178	312
340	130
255	23
11	228
369	233
356	365
181	65
369	356
72	207
468	495
322	202
82	389
374	194
369	420
275	1
222	5
191	106
346	190
130	467
116	320
408	495
250	288
59	315
334	275
2	367
77	146
178	196
365	170
460	137
340	162
380	146
411	1
265	246
83	23
352	250
346	371
27	350
469	333
189	408
247	220
81	161
443	149
74	324
495	35
198	308
110	215
229	137
205	409
227	146
383	147
460	397
340	205
34	499
416	3
366	21
203	428
62	112
332	315
107	221
234	275
25	252
219	137
130	6
369	322
163	148
419	449
451	423
125	363
107	493
456	117
339	87
223	229
419	422
82	410
37	309
188	257
161	461
137	202
344	200
263	205
298	399
397	396
186	99
82	296
415	434
215	21
253	282
411	121
0	326
374	375
228	210
300	193
283	463
462	116
324	212
431	365
173	459
396	50
352	434
137	171
220	391
440	425
339	357
10	365
284	13
414	35
13	428
344	277
94	165
365	308
12	112
173	365
66	431
329	23
285	346
67	201
290	320
135	238
489	157
285	12
484	238
238	365
346	338
107	7
198	338
117	241
121	232
496	102
